Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2021,25,SDP,NL,117,298,267,27,54,12,2,8,34,6,1,22,71,.202,.270,.352,.622,73,94,6,4,2,3,1,H654,,-9999
2022,26,SDP,NL,150,582,517,58,130,29,3,11,59,12,2,51,100,.251,.325,.383,.708,106,198,9,7,3,4,0,*65/H,,-9999
2023,27,SDP,NL,120,477,410,69,114,18,0,16,45,27,7,58,94,.278,.369,.439,.808,126,180,5,3,3,3,0,*456/HD,,-9999
3 Yrs,3 Yrs,3 Yrs,3 Yrs,387,1357,1194,154,298,59,5,35,138,45,10,131,265,.250,.328,.395,.724,105,472,20,14,8,10,1,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,568,500,64,125,25,2,15,58,19,4,55,111,.250,.328,.395,.724,105,198,8,6,3,4,0,,,
