Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2020,22,PHI,NL,8,18,14,3,3,0,0,0,0,0,0,4,6,.214,.389,.214,.603,70,3,0,0,0,0,0,/7HD9,,-9999
2021,23,PHI,NL,21,37,33,3,3,0,0,1,3,0,0,3,16,.091,.167,.182,.348,-5,6,0,0,1,0,1,/8H79,,-9999
2022,24,TOT,MLB,37,112,106,13,18,3,1,3,8,1,0,4,44,.170,.207,.302,.509,42,32,0,1,1,0,0,87/H9D,,-9999
2022,24,PHI,NL,18,50,46,4,6,1,0,0,2,0,0,3,19,.130,.184,.152,.336,-3,7,0,0,1,0,0,8/H9D,,-9999
2022,24,LAA,AL,19,62,60,9,12,2,1,3,6,1,0,1,25,.200,.226,.417,.642,76,25,0,1,0,0,0,7/8H9,,-9999
2023,25,LAA,AL,83,316,304,33,85,21,2,13,43,6,3,9,110,.280,.307,.490,.797,110,149,4,3,0,0,1,897/H,,-9999
4 Yrs,4 Yrs,4 Yrs,4 Yrs,149,483,457,52,109,24,3,17,54,7,3,20,176,.239,.277,.416,.692,86,190,4,4,2,0,2,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,525,497,57,119,26,3,18,59,8,3,22,191,.239,.277,.416,.692,86,207,4,4,2,0,2,,,
