Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2022,27,TOT,MLB,47,131,114,18,27,3,1,5,13,3,3,15,30,.237,.336,.412,.748,115,47,2,2,0,0,0,7H/98D,,-9999
2022,27,CLE,AL,12,16,12,2,2,0,0,0,0,0,0,4,4,.167,.375,.167,.542,66,2,0,0,0,0,0,/9H87,,-9999
2022,27,WSN,NL,35,115,102,16,25,3,1,5,13,3,3,11,26,.245,.330,.441,.772,121,45,2,2,0,0,0,7/H8D9,,-9999
2023,28,WSN,NL,118,422,361,41,71,13,1,7,36,9,7,50,73,.197,.303,.296,.600,68,107,1,6,3,2,0,*87/9H,,-9999
2 Yrs,2 Yrs,2 Yrs,2 Yrs,165,553,475,59,98,16,2,12,49,12,10,65,103,.206,.311,.324,.635,79,154,3,8,3,2,0,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,543,466,58,96,16,2,12,48,12,10,64,101,.206,.311,.324,.635,79,151,3,8,3,2,0,,,
