Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2017,22,NYM,NL,49,183,167,17,33,6,0,9,26,0,0,14,49,.198,.262,.395,.658,74,66,5,1,0,1,0,3/H,,-9999
2018,23,NYM,NL,56,149,143,14,32,11,1,5,11,0,0,4,47,.224,.255,.420,.675,85,60,2,2,0,0,0,3H7/D,,-9999
2019,24,NYM,NL,89,197,177,35,50,10,0,11,25,1,2,19,44,.282,.355,.525,.881,132,93,5,1,0,0,0,H37/9,,-9999
2020,25,NYM,NL,50,199,177,27,56,21,1,10,42,0,0,14,45,.316,.377,.616,.993,168,109,2,5,0,3,0,37/DH,MVP-13,-9999
2021,26,NYM,NL,145,493,446,43,109,20,0,11,58,2,1,32,112,.244,.304,.363,.667,83,162,13,9,0,6,2,*7H3/D,,-9999
2022,27,NYM,NL,58,152,134,11,26,10,1,0,17,0,0,12,37,.194,.276,.284,.560,62,38,0,4,0,2,0,3DH,,-9999
2023,28,WSN,NL,134,513,462,49,121,18,1,7,38,1,0,40,81,.262,.333,.351,.684,91,162,11,10,0,1,0,*3/HD,,-9999
7 Yrs,7 Yrs,7 Yrs,7 Yrs,581,1886,1706,196,427,96,4,53,217,4,3,135,415,.250,.315,.404,.719,97,690,38,32,0,13,2,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,526,476,55,119,27,1,15,61,1,1,38,116,.250,.315,.404,.719,97,192,11,9,0,4,1,,,
