Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2022,20,COL,NL,9,35,33,2,7,1,0,1,2,0,0,2,9,.212,.257,.333,.590,57,11,0,0,0,0,0,/6,,-9999
2023,21,COL,NL,130,522,493,68,126,31,3,15,64,10,5,21,141,.256,.290,.422,.712,81,208,9,4,1,3,0,*6,,-9999
2 Yrs,2 Yrs,2 Yrs,2 Yrs,139,557,526,70,133,32,3,16,66,10,5,23,150,.253,.288,.416,.704,79,219,9,4,1,3,0,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,649,613,82,155,37,3,19,77,12,6,27,175,.253,.288,.416,.704,79,255,10,5,1,3,0,,,
