Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2021,24,PHI,NL,34,77,71,11,23,3,1,2,6,2,0,4,20,.324,.364,.479,.843,126,34,1,1,0,1,1,H/3879,,-9999
2022,25,PHI,NL,117,357,325,41,80,12,2,6,32,7,4,23,70,.246,.297,.351,.648,84,114,7,3,0,6,0,897H/543D,,-9999
2023,26,DET,AL,111,428,392,42,102,13,3,7,30,5,6,31,89,.260,.321,.362,.683,87,142,8,4,1,0,0,*9875H/4,,-9999
3 Yrs,3 Yrs,3 Yrs,3 Yrs,262,862,788,94,205,28,6,15,68,14,10,58,179,.260,.315,.368,.683,89,290,16,8,1,7,1,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,533,487,58,127,17,4,9,42,9,6,36,111,.260,.315,.368,.683,89,179,10,5,1,4,1,,,
