id,year,teams,total_pitchers,average_age,runs_per_game,ERA,games_played,games_finished,complete_game,shutouts,shutouts_team,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_batter,balks,wild_pitches,batters_faced,WHIP,BA_bip,hits_9,homeruns_9,walks_9,strikeouts_9,strikeout_walk,errors
131,1891,17,126,24.7,5.7,3.53,2216,318,1898,95,99,49,19453.2,19709,12635,7620,585,8035,,7656,985,6,1013,86760,1.426,0.275,9.1,0.3,3.7,3.5,0.95,7053
132,1890,25,186,24.6,6.02,3.88,3218,338,2880,134,135,48,28168,29445,19383,12150,764,11721,,10946,1348,23,1598,126492,1.461,0.271,9.4,0.2,3.7,3.5,0.93,10696
133,1889,16,122,24.6,5.97,3.93,2176,246,1930,91,91,38,19020.1,20108,12986,8310,667,7317,,7685,793,1,1131,84510,1.442,0.286,9.5,0.3,3.5,3.6,1.05,7460
134,1888,16,117,24.2,4.88,2.95,2180,78,2102,154,154,11,19261.2,18001,10633,6304,521,4726,,8234,830,8,1333,81057,1.18,0.262,8.4,0.2,2.2,3.8,1.74,7517
135,1887,16,130,24.4,6.35,4.17,2112,95,2017,73,73,17,18370,20225,13413,8517,606,6052,,5915,751,10,1298,81427,1.43,0.288,9.9,0.3,3,2.9,0.98,8063
136,1886,16,131,24.9,5.49,3.37,2098,94,2004,101,103,11,18282,17975,11513,6847,413,5573,,9051,310,7,1468,78967,1.288,0.257,8.8,0.2,2.7,4.5,1.62,7927
137,1885,16,108,24.6,5.22,3.03,1780,70,1710,110,113,14,15720.1,15308,9292,5296,323,3529,,6704,333,37,1212,66607,1.198,0.254,8.8,0.2,2,3.8,1.9,7009
138,1884,33,204,24.2,5.45,3.11,3074,189,2885,194,194,17,26945,26592,16740,9307,689,4947,,14837,472,13,2183,115408,1.17,0.248,8.9,0.2,1.7,5,3,14555
139,1883,16,86,25.2,5.75,3.22,1570,121,1449,74,75,13,13875.2,14828,9030,4958,238,2329,,5294,,1,786,60043,1.236,0.267,9.6,0.2,1.5,3.4,2.27,7669
140,1882,14,69,25.3,5.33,2.8,1142,62,1080,66,66,2,10149.1,10332,6092,3161,178,1589,,3341,,1,598,43328,1.175,0.258,9.2,0.2,1.4,3,2.1,5438
141,1881,8,29,23.6,5.1,2.77,672,41,631,52,52,3,5988.1,6331,3425,1846,76,1036,,1784,,4,343,25411,1.23,0.278,9.5,0.1,1.6,2.7,1.72,2782
142,1880,8,32,22.7,4.69,2.37,680,72,608,51,52,13,6031.1,5943,3191,1591,62,739,,1989,,0,294,25041,1.108,0.264,8.9,0.1,1.1,3,2.69,2949
143,1879,8,25,23,5.31,2.5,642,33,609,44,45,2,5797,6171,3409,1608,58,508,,1843,,0,363,24666,1.152,0.275,9.6,0.1,0.8,2.9,3.63,3127
144,1878,6,21,22.2,5.17,2.3,368,16,352,25,25,1,3324,3537,1904,851,23,364,,1081,,0,236,14017,1.174,0.28,9.6,0.1,1,2.9,2.97,1778
145,1877,6,19,24.2,5.67,2.81,360,34,326,20,20,4,3241,3705,2040,1011,24,346,,726,,0,202,14009,1.25,0.285,10.3,0.1,1,2,2.1,1858
146,1876,8,34,24.4,5.9,2.31,520,48,472,46,47,13,4739.1,5338,3066,1215,40,336,,589,,0,187,20536,1.197,0.272,10.1,0.1,0.6,1.1,1.75,3124
147,1875,13,42,24.3,6.14,2.23,690,69,621,49,51,18,6190.1,6812,4234,1531,40,249,,675,,5,330,27082,1.141,0.259,9.9,0.1,0.4,1,2.71,4802
148,1874,8,17,24.7,7.48,2.19,464,25,439,15,15,3,4169.2,5224,3470,1015,40,238,,357,,0,127,19342,1.31,0.277,11.3,0.1,0.5,0.8,1.5,3775
149,1873,9,25,21.3,8.99,3.4,398,36,362,8,8,9,3584.2,4926,3580,1353,47,335,,278,,1,124,17294,1.468,0.293,12.4,0.1,0.8,0.7,0.83,3191
150,1872,11,21,21.1,9.26,3.65,366,39,327,10,11,7,3286,4467,3390,1334,37,263,,265,,2,202,15928,1.439,0.288,12.2,0.1,0.7,0.7,1.01,2746
151,1871,9,19,24.3,10.47,4.22,254,23,231,4,4,4,2250,3101,2659,1055,47,393,,175,,2,208,11215,1.553,0.288,12.4,0.2,1.6,0.7,0.45,1934
