id,year,teams,total_pitchers,average_age,runs_per_game,ERA,games_played,games_finished,complete_game,shutouts,shutouts_team,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_batter,balks,wild_pitches,batters_faced,WHIP,BA_bip,hits_9,homeruns_9,walks_9,strikeouts_9,strikeout_walk,errors
19,2003,30,612,28.7,4.73,4.39,4860,4651,209,72,259,1198,43335.1,44057,22978,21153,5207,15889,1316,30801,1849,158,1546,187449,1.383,0.294,9.1,1.1,3.3,6.4,1.94,3171
20,2002,30,609,28.8,4.62,4.27,4852,4638,214,87,275,1224,43269,43272,22408,20527,5059,16246,1452,31394,1746,160,1494,186615,1.376,0.293,9,1.1,3.4,6.5,1.93,3225
21,2001,30,591,28.7,4.78,4.41,4858,4659,199,74,229,1210,43287.1,43879,23199,21215,5458,15806,1384,32404,1890,151,1484,186976,1.379,0.296,9.1,1.1,3.3,6.7,2.05,3357
22,2000,30,606,28.8,5.14,4.76,4858,4624,234,72,204,1178,43244.1,45246,24971,22876,5693,18237,1210,31356,1573,161,1518,190261,1.468,0.3,9.4,1.2,3.8,6.5,1.72,3447
23,1999,30,585,28.8,5.08,4.7,4856,4619,237,64,193,1217,43211.1,45327,24691,22554,5528,17891,1107,31119,1579,177,1632,189692,1.463,0.302,9.4,1.2,3.7,6.5,1.74,3508
24,1998,30,557,28.8,4.79,4.42,4864,4562,302,101,244,1265,43434.2,44489,23297,21352,5064,16447,1067,31893,1587,205,1603,188280,1.403,0.3,9.2,1,3.4,6.6,1.94,3444
25,1997,28,534,28.5,4.77,4.38,4532,4266,266,89,211,1139,40454,41471,21604,19695,4640,15666,1169,29937,1449,188,1482,175541,1.412,0.301,9.2,1,3.5,6.7,1.91,3237
26,1996,28,538,28.4,5.04,4.6,4534,4244,290,84,196,1116,40560.2,42320,22831,20741,4962,16093,1343,29308,1404,197,1553,177261,1.44,0.301,9.4,1.1,3.6,6.5,1.82,3356
27,1995,28,552,28.3,4.85,4.45,4034,3759,275,88,204,1006,36032,36975,19554,17800,4081,14240,1105,25425,1219,199,1414,156703,1.421,0.298,9.2,1,3.6,6.4,1.79,2911
28,1994,28,470,28.6,4.92,4.5,3200,2945,255,69,143,777,28586.1,29743,15752,14304,3306,11131,1008,19766,876,174,1162,124483,1.43,0.3,9.4,1,3.5,6.2,1.78,2360
29,1993,28,507,28.5,4.6,4.18,4538,4167,371,99,220,1192,40507,41088,20864,18813,4030,15110,1477,26310,1200,298,1473,174564,1.387,0.294,9.1,0.9,3.4,5.8,1.74,3483
30,1992,26,441,28.6,4.12,3.74,4212,3793,419,146,298,1109,37829.2,36544,17341,15710,3038,13682,1315,23538,980,219,1296,160545,1.328,0.285,8.7,0.7,3.3,5.6,1.72,3057
31,1991,26,475,28.3,4.31,3.91,4208,3842,366,107,272,1132,37769.2,36558,18127,16390,3383,13984,1228,24390,905,241,1391,160746,1.338,0.285,8.7,0.8,3.3,5.8,1.74,3131
