Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2019,24,STL,NL,19,23,20,4,6,1,0,1,2,2,1,2,4,.300,.391,.500,.891,135,10,0,1,0,0,0,H/987,,-9999
2020,25,TBR,AL,23,76,64,15,18,2,0,7,11,4,0,6,22,.281,.382,.641,1.022,182,41,2,5,0,1,0,7/DH98,,-9999
2021,26,TBR,AL,141,604,529,94,145,32,3,20,69,20,10,56,170,.274,.356,.459,.815,129,243,9,14,0,5,4,*79D/H8,RoY-1,-9999
2022,27,TBR,AL,153,645,586,72,154,41,3,20,89,32,12,46,156,.263,.327,.445,.773,123,261,17,11,0,2,2,*7D9/H,,-9999
2023,28,TBR,AL,128,553,463,85,121,14,2,21,76,20,10,68,130,.261,.373,.436,.809,125,202,7,17,0,5,0,*7D/H,AS,-9999
5 Yrs,5 Yrs,5 Yrs,5 Yrs,464,1901,1662,270,444,90,8,69,247,78,33,178,482,.267,.352,.455,.808,128,757,35,48,0,13,6,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,664,580,94,155,31,3,24,86,27,12,62,168,.267,.352,.455,.808,128,264,12,17,0,5,2,,,
