Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2019,20,TOR,AL,123,514,464,52,126,26,2,15,69,0,1,46,91,.272,.339,.433,.772,106,201,17,2,0,2,0,5D/H,RoY-6,-9999
2020,21,TOR,AL,60,243,221,34,58,13,2,9,33,1,0,20,38,.262,.329,.462,.791,115,102,6,2,0,0,1,3D/H,,-9999
2021,22,TOR,AL,161,698,604,123,188,29,1,48,111,4,1,86,110,.311,.401,.601,1.002,167,363,20,6,0,2,7,*3D/5,ASMVP-2SS,-9999
2022,23,TOR,AL,160,706,638,90,175,35,0,32,97,8,3,58,116,.274,.339,.480,.818,133,306,26,6,0,4,6,*3D/H5,ASMVP-16GG,-9999
2023,24,TOR,AL,130,568,506,62,135,26,0,20,79,5,3,50,84,.267,.340,.437,.777,114,221,18,8,0,4,3,*3D/H,AS,-9999
5 Yrs,5 Yrs,5 Yrs,5 Yrs,634,2729,2433,361,682,129,5,124,389,18,8,260,439,.280,.354,.490,.844,131,1193,87,24,0,12,17,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,697,622,92,174,33,1,32,99,5,2,66,112,.280,.354,.490,.844,131,305,22,6,0,3,4,,,
