Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2018,26,NYM,NL,63,248,225,35,74,11,6,3,19,7,1,14,24,.329,.381,.471,.852,138,106,2,5,4,0,1,4/H5,RoY-6,-9999
2019,27,NYM,NL,133,567,510,83,162,38,1,23,75,5,6,35,75,.318,.384,.531,.916,143,271,5,21,0,1,2,7945/H,AS,-9999
2020,28,NYM,NL,52,209,183,19,57,14,0,4,23,0,2,20,24,.311,.383,.454,.836,130,83,3,3,0,3,2,74/59DH,,-9999
2021,29,NYM,NL,120,426,386,48,97,19,1,7,35,3,0,29,58,.251,.319,.360,.679,87,139,10,10,0,1,0,47H/5D,,-9999
2022,30,NYM,NL,148,589,533,73,174,39,1,9,62,4,0,40,61,.326,.382,.454,.836,140,242,6,11,0,5,1,479/DH5,ASMVP-15SS,-9999
2023,31,NYM,NL,133,550,494,62,131,21,2,6,47,8,0,35,58,.265,.332,.352,.684,91,174,5,16,2,3,0,*497/H386,,-9999
6 Yrs,6 Yrs,6 Yrs,6 Yrs,649,2589,2331,320,695,142,11,52,261,27,9,173,300,.298,.362,.435,.797,120,1015,31,66,6,13,6,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,646,582,80,173,35,3,13,65,7,2,43,75,.298,.362,.435,.797,120,253,8,16,1,3,1,,,
