Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2018,23,LAA,AL,104,367,326,59,93,21,2,22,61,10,4,37,102,.285,.361,.564,.925,151,184,2,2,0,1,2,DH1,RoY-1,-9999
2019,24,LAA,AL,106,425,384,51,110,20,5,18,62,12,3,33,110,.286,.343,.505,.848,121,194,6,2,0,4,1,DH,,-9999
2020,25,LAA,AL,44,175,153,23,29,6,0,7,24,7,1,22,50,.190,.291,.366,.657,79,56,3,0,0,0,0,*D/H1,,-9999
2021,26,LAA,AL,155,639,537,103,138,26,8,46,100,26,10,96,189,.257,.372,.592,.965,157,318,7,4,0,2,20,*D1/H97,ASMVP-1SS,-9999
2022,27,LAA,AL,157,666,586,90,160,30,6,34,95,11,9,72,161,.273,.356,.519,.875,143,304,6,5,0,3,14,*D1/H,ASCYA-4MVP-2,-9999
2023,28,LAA,AL,123,546,458,95,140,21,7,43,89,17,5,77,133,.306,.407,.664,1.070,184,304,8,3,0,3,16,*D1,AS,-9999
6 Yrs,6 Yrs,6 Yrs,6 Yrs,689,2818,2444,421,670,124,28,170,431,83,32,337,745,.274,.364,.556,.921,147,1360,32,16,0,13,53,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,663,575,99,158,29,7,40,101,20,8,79,175,.274,.364,.556,.921,147,320,8,4,0,3,12,,,
