Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2019,22,CHW,AL,122,504,468,69,125,18,2,31,79,0,0,30,134,.267,.315,.513,.828,116,240,11,4,0,2,0,*7/D,RoY-4,-9999
2020,23,CHW,AL,55,226,213,26,63,14,0,14,41,0,0,12,56,.296,.332,.559,.891,139,119,4,0,0,1,0,*7/D,SS,-9999
2021,24,CHW,AL,55,231,213,23,53,10,0,10,37,0,0,16,57,.249,.303,.437,.740,99,93,8,1,0,1,0,7D,,-9999
2022,25,CHW,AL,84,327,292,40,86,12,0,16,54,0,0,28,72,.295,.358,.500,.858,141,146,8,3,0,4,0,D7/H,,-9999
2023,26,CHW,AL,94,384,357,41,100,16,0,15,53,0,0,25,78,.280,.326,.451,.777,110,161,12,0,0,2,2,D9/H,,-9999
5 Yrs,5 Yrs,5 Yrs,5 Yrs,410,1672,1543,199,427,70,2,86,264,0,0,111,397,.277,.327,.492,.818,120,759,43,8,0,10,2,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,661,610,79,169,28,1,34,104,0,0,44,157,.277,.327,.492,.818,120,300,17,3,0,4,1,,,
