Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2017,21,LAD,NL,15,25,23,1,4,0,0,1,1,0,1,2,4,.174,.240,.304,.544,44,7,1,0,0,0,0,/H879,,-9999
2018,22,LAD,NL,37,86,77,11,20,6,0,1,4,0,0,8,14,.260,.329,.377,.706,93,29,4,0,1,0,0,9H7/8,,-9999
2019,23,LAD,NL,106,377,343,43,101,22,2,12,44,4,1,26,49,.294,.342,.475,.817,113,163,8,2,0,6,1,897H,,-9999
2020,24,BOS,AL,53,221,201,36,62,16,0,6,15,4,0,17,45,.308,.367,.478,.844,123,96,4,2,0,1,1,*97/H8D,MVP-12,-9999
2021,25,BOS,AL,146,604,544,88,157,32,2,13,63,6,2,51,96,.289,.351,.426,.777,107,232,11,4,0,5,6,*789/HD,,-9999
2022,26,BOS,AL,152,644,593,75,166,39,1,11,74,1,3,42,86,.280,.328,.405,.732,102,240,14,3,0,6,2,*79/DH,,-9999
2023,27,BOS,AL,120,521,469,74,131,33,4,12,51,4,3,42,77,.279,.344,.443,.787,110,208,8,6,0,4,1,*9/H,,-9999
7 Yrs,7 Yrs,7 Yrs,7 Yrs,629,2478,2250,328,641,148,9,56,252,19,10,188,371,.285,.342,.433,.775,108,975,50,17,1,22,11,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,638,579,84,165,38,2,14,65,5,3,48,96,.285,.342,.433,.775,108,251,13,4,0,6,3,,,
