Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2018,20,ATL,NL,111,487,433,78,127,26,4,26,64,16,5,45,123,.293,.366,.552,.917,143,239,4,6,0,3,2,78/9HD,MVP-12RoY-1,-9999
2019,21,ATL,NL,156,715,626,127,175,22,2,41,101,37,9,76,188,.280,.365,.518,.883,121,324,8,9,0,1,4,*879/H,ASMVP-5SS,-9999
2020,22,ATL,NL,46,202,160,46,40,11,0,14,29,8,1,38,60,.250,.406,.581,.987,156,93,3,4,0,0,2,*89,MVP-12SS,-9999
2021,23,ATL,NL,82,360,297,72,84,19,1,24,52,17,6,49,85,.283,.394,.596,.990,158,177,0,9,0,5,2,9/8H,AS,-9999
2022,24,ATL,NL,119,533,467,71,124,24,0,15,50,29,11,53,126,.266,.351,.413,.764,112,193,8,10,0,3,4,9D/H8,AS,-9999
2023,25,ATL,NL,123,568,492,112,163,29,2,28,74,56,10,67,70,.331,.417,.569,.986,162,280,12,7,0,2,2,*9,AS,-9999
6 Yrs,6 Yrs,6 Yrs,6 Yrs,637,2865,2475,506,713,131,9,148,370,163,42,328,652,.288,.379,.528,.907,138,1306,35,45,0,14,16,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,729,629,129,181,33,2,38,94,41,11,83,166,.288,.379,.528,.907,138,332,9,11,0,4,4,,,
