Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2022,21,SEA,AL,132,560,511,84,145,25,3,28,75,25,7,40,145,.284,.345,.509,.853,147,260,7,8,0,1,4,*8/DH,ASMVP-7RoY-1SS,-9999
2023,22,SEA,AL,121,560,515,76,143,30,1,21,79,33,9,38,141,.278,.336,.462,.798,123,238,12,7,0,0,3,*8/D,AS,-9999
2 Yrs,2 Yrs,2 Yrs,2 Yrs,253,1120,1026,160,288,55,4,49,154,58,16,78,286,.281,.340,.485,.826,135,498,19,15,0,1,7,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,717,657,102,184,35,3,31,99,37,10,50,183,.281,.340,.485,.826,135,319,12,10,0,1,4,,,
